order_id,customer_id,order_date,order_status,sales_channel
10131,31,2026-03-03,Placed,Mobile
10132,32,2026-04-08,Paid,Store
10133,33,2026-05-13,Shipped,Web
10134,34,2026-06-18,Delivered,Mobile
10135,35,2026-07-23,Cancelled,Store
10136,36,2026-08-01,Placed,Web
10137,37,2026-01-06,Paid,Mobile
10138,38,2026-02-11,Shipped,Store
10139,39,2026-03-16,Delivered,Web
10140,40,2026-04-21,Cancelled,Mobile
10141,41,2026-05-26,Placed,Store
10142,42,2026-06-04,Paid,Web
10143,43,2026-07-09,Shipped,Mobile
10144,44,2026-08-14,Delivered,Store
10145,45,2026-01-19,Cancelled,Web
10146,46,2026-02-24,Placed,Mobile
10147,47,2026-03-02,Paid,Store
10148,48,2026-04-07,Shipped,Web
10149,49,2026-05-12,Delivered,Mobile
10150,50,2026-06-17,Cancelled,Store
10151,51,2026-07-22,Placed,Web
10152,52,2026-08-27,Paid,Mobile
10153,53,2026-01-05,Shipped,Store
10154,54,2026-02-10,Delivered,Web
10155,55,2026-03-15,Cancelled,Mobile
10156,56,2026-04-20,Placed,Store
10157,57,2026-05-25,Paid,Web
10158,58,2026-06-03,Shipped,Mobile
10159,59,2026-07-08,Delivered,Store
10160,60,2026-08-13,Cancelled,Web
10161,61,2026-01-18,Placed,Mobile
10162,62,2026-02-23,Paid,Store
10163,63,2026-03-01,Shipped,Web
10164,64,2026-04-06,Delivered,Mobile
10165,65,2026-05-11,Cancelled,Store
10166,66,2026-06-16,Placed,Web
10167,67,2026-07-21,Paid,Mobile
10168,68,2026-08-26,Shipped,Store
10169,69,2026-01-04,Delivered,Web
10170,70,2026-02-09,Cancelled,Mobile
10171,71,2026-03-14,Placed,Store
10172,72,2026-04-19,Paid,Web
10173,73,2026-05-24,Shipped,Mobile
10174,74,2026-06-02,Delivered,Store
10175,75,2026-07-07,Cancelled,Web
10176,76,2026-08-12,Placed,Mobile
10177,77,2026-01-17,Paid,Store
10178,78,2026-02-22,Shipped,Web
10179,79,2026-03-27,Delivered,Mobile
10180,80,2026-04-05,Cancelled,Store
10181,81,2026-05-10,Placed,Web
10182,82,2026-06-15,Paid,Mobile
10183,83,2026-07-20,Shipped,Store
10184,84,2026-08-25,Delivered,Web
10185,85,2026-01-03,Cancelled,Mobile
10186,86,2026-02-08,Placed,Store
10187,87,2026-03-13,Paid,Web
10188,88,2026-04-18,Shipped,Mobile
10189,89,2026-05-23,Delivered,Store
10190,90,2026-06-01,Cancelled,Web
10191,91,2026-07-06,Placed,Mobile
10192,92,2026-08-11,Paid,Store
10193,93,2026-01-16,Shipped,Web
10194,94,2026-02-21,Delivered,Mobile
10195,95,2026-03-26,Cancelled,Store
10196,96,2026-04-04,Placed,Web
10197,97,2026-05-09,Paid,Mobile
10198,98,2026-06-14,Shipped,Store
10199,99,2026-07-19,Delivered,Web
10200,100,2026-08-24,Cancelled,Mobile
10201,1,2026-01-02,Placed,Store
10202,2,2026-02-07,Paid,Web
10203,3,2026-03-12,Shipped,Mobile
10204,4,2026-04-17,Delivered,Store
10205,5,2026-05-22,Cancelled,Web
10206,6,2026-06-27,Placed,Mobile
10207,7,2026-07-05,Paid,Store
10208,8,2026-08-10,Shipped,Web
10209,9,2026-01-15,Delivered,Mobile
10210,10,2026-02-20,Cancelled,Store
10211,11,2026-03-25,Placed,Web
10212,12,2026-04-03,Paid,Mobile
10213,13,2026-05-08,Shipped,Store
10214,14,2026-06-13,Delivered,Web
10215,15,2026-07-18,Cancelled,Mobile
10216,16,2026-08-23,Placed,Store
10217,17,2026-01-01,Paid,Web
10218,18,2026-02-06,Shipped,Mobile
10219,19,2026-03-11,Delivered,Store
10220,20,2026-04-16,Cancelled,Web
10221,21,2026-05-21,Placed,Mobile
10222,22,2026-06-26,Paid,Store
10223,23,2026-07-04,Shipped,Web
10224,24,2026-08-09,Delivered,Mobile
10225,25,2026-01-14,Cancelled,Store
10226,26,2026-02-19,Placed,Web
10227,27,2026-03-24,Paid,Mobile
10228,28,2026-04-02,Shipped,Store
10229,29,2026-05-07,Delivered,Web
10230,30,2026-06-12,Cancelled,Mobile
10231,31,2026-07-17,Placed,Store
10232,32,2026-08-22,Paid,Web
10233,33,2026-01-27,Shipped,Mobile
10234,34,2026-02-05,Delivered,Store
10235,35,2026-03-10,Cancelled,Web
10236,36,2026-04-15,Placed,Mobile
10237,37,2026-05-20,Paid,Store
10238,38,2026-06-25,Shipped,Web
10239,39,2026-07-03,Delivered,Mobile
10240,40,2026-08-08,Cancelled,Store
10241,41,2026-01-13,Placed,Web
10242,42,2026-02-18,Paid,Mobile
10243,43,2026-03-23,Shipped,Store
10244,44,2026-04-01,Delivered,Web
10245,45,2026-05-06,Cancelled,Mobile
10246,46,2026-06-11,Placed,Store
10247,47,2026-07-16,Paid,Web
10248,48,2026-08-21,Shipped,Mobile
10249,49,2026-01-26,Delivered,Store
10250,50,2026-02-04,Cancelled,Web
10251,51,2026-03-09,Placed,Mobile
10252,52,2026-04-14,Paid,Store
10253,53,2026-05-19,Shipped,Web
10254,54,2026-06-24,Delivered,Mobile
10255,55,2026-07-02,Cancelled,Store
10256,56,2026-08-07,Placed,Web
10257,57,2026-01-12,Paid,Mobile
10258,58,2026-02-17,Shipped,Store
10259,59,2026-03-22,Delivered,Web
10260,60,2026-04-27,Cancelled,Mobile
10261,61,2026-05-05,Placed,Store
10262,62,2026-06-10,Paid,Web
10263,63,2026-07-15,Shipped,Mobile
10264,64,2026-08-20,Delivered,Store
10265,65,2026-01-25,Cancelled,Web
10266,66,2026-02-03,Placed,Mobile
10267,67,2026-03-08,Paid,Store
10268,68,2026-04-13,Shipped,Web
10269,69,2026-05-18,Delivered,Mobile
10270,70,2026-06-23,Cancelled,Store
10271,71,2026-07-01,Placed,Web
10272,72,2026-08-06,Paid,Mobile
10273,73,2026-01-11,Shipped,Store
10274,74,2026-02-16,Delivered,Web
10275,75,2026-03-21,Cancelled,Mobile
10276,76,2026-04-26,Placed,Store
10277,77,2026-05-04,Paid,Web
10278,78,2026-06-09,Shipped,Mobile
10279,79,2026-07-14,Delivered,Store
10280,80,2026-08-19,Cancelled,Web
10281,81,2026-01-24,Placed,Mobile
10282,82,2026-02-02,Paid,Store
10283,83,2026-03-07,Shipped,Web
10284,84,2026-04-12,Delivered,Mobile
10285,85,2026-05-17,Cancelled,Store
10286,86,2026-06-22,Placed,Web
10287,87,2026-07-27,Paid,Mobile
10288,88,2026-08-05,Shipped,Store
10289,89,2026-01-10,Delivered,Web
10290,90,2026-02-15,Cancelled,Mobile
10291,91,2026-03-20,Placed,Store
10292,92,2026-04-25,Paid,Web
10293,93,2026-05-03,Shipped,Mobile
10294,94,2026-06-08,Delivered,Store
10295,95,2026-07-13,Cancelled,Web
10296,96,2026-08-18,Placed,Mobile
10297,97,2026-01-23,Paid,Store
10298,98,2026-02-01,Shipped,Web
10299,99,2026-03-06,Delivered,Mobile
10300,100,2026-04-11,Cancelled,Store
10301,1,2026-05-16,Placed,Web
10302,2,2026-06-21,Paid,Mobile
10303,3,2026-07-26,Shipped,Store
10304,4,2026-08-04,Delivered,Web
10305,5,2026-01-09,Cancelled,Mobile
10306,6,2026-02-14,Placed,Store
10307,7,2026-03-19,Paid,Web
10308,8,2026-04-24,Shipped,Mobile
10309,9,2026-05-02,Delivered,Store
10310,10,2026-06-07,Cancelled,Web
10311,11,2026-07-12,Placed,Mobile
10312,12,2026-08-17,Paid,Store
10313,13,2026-01-22,Shipped,Web
10314,14,2026-02-27,Delivered,Mobile
10315,15,2026-03-05,Cancelled,Store
10316,16,2026-04-10,Placed,Web
10317,17,2026-05-15,Paid,Mobile
10318,18,2026-06-20,Shipped,Store
10319,19,2026-07-25,Delivered,Web
10320,20,2026-08-03,Cancelled,Mobile
10321,21,2026-01-08,Placed,Store
10322,22,2026-02-13,Paid,Web
10323,23,2026-03-18,Shipped,Mobile
10324,24,2026-04-23,Delivered,Store
10325,25,2026-05-01,Cancelled,Web
10326,26,2026-06-06,Placed,Mobile
10327,27,2026-07-11,Paid,Store
10328,28,2026-08-16,Shipped,Web
10329,29,2026-01-21,Delivered,Mobile
10330,30,2026-02-26,Cancelled,Store
10331,31,2026-03-04,Placed,Web
10332,32,2026-04-09,Paid,Mobile
10333,33,2026-05-14,Shipped,Store
10334,34,2026-06-19,Delivered,Web
10335,35,2026-07-24,Cancelled,Mobile
10336,36,2026-08-02,Placed,Store
10337,37,2026-01-07,Paid,Web
10338,38,2026-02-12,Shipped,Mobile
10339,39,2026-03-17,Delivered,Store
10340,40,2026-04-22,Cancelled,Web
10341,41,2026-05-27,Placed,Mobile
10342,42,2026-06-05,Paid,Store
10343,43,2026-07-10,Shipped,Web
10344,44,2026-08-15,Delivered,Mobile
10345,45,2026-01-20,Cancelled,Store
10346,46,2026-02-25,Placed,Web
10347,47,2026-03-03,Paid,Mobile
10348,48,2026-04-08,Shipped,Store
10349,49,2026-05-13,Delivered,Web
10350,50,2026-06-18,Cancelled,Mobile
10351,51,2026-07-23,Placed,Store
10352,52,2026-08-01,Paid,Web
10353,53,2026-01-06,Shipped,Mobile
10354,54,2026-02-11,Delivered,Store
10355,55,2026-03-16,Cancelled,Web
10356,56,2026-04-21,Placed,Mobile
10357,57,2026-05-26,Paid,Store
10358,58,2026-06-04,Shipped,Web
10359,59,2026-07-09,Delivered,Mobile
10360,60,2026-08-14,Cancelled,Store
10361,61,2026-01-19,Placed,Web
10362,62,2026-02-24,Paid,Mobile
10363,63,2026-03-02,Shipped,Store
10364,64,2026-04-07,Delivered,Web
10365,65,2026-05-12,Cancelled,Mobile
10366,66,2026-06-17,Placed,Store
10367,67,2026-07-22,Paid,Web
10368,68,2026-08-27,Shipped,Mobile
10369,69,2026-01-05,Delivered,Store
10370,70,2026-02-10,Cancelled,Web
10371,71,2026-03-15,Placed,Mobile
10372,72,2026-04-20,Paid,Store
10373,73,2026-05-25,Shipped,Web
10374,74,2026-06-03,Delivered,Mobile
10375,75,2026-07-08,Cancelled,Store
10376,76,2026-08-13,Placed,Web
10377,77,2026-01-18,Paid,Mobile
10378,78,2026-02-23,Shipped,Store
10379,79,2026-03-01,Delivered,Web
10380,80,2026-04-06,Cancelled,Mobile
10381,81,2026-05-11,Placed,Store
10382,82,2026-06-16,Paid,Web
10383,83,2026-07-21,Shipped,Mobile
10384,84,2026-08-26,Delivered,Store
10385,85,2026-01-04,Cancelled,Web
10386,86,2026-02-09,Placed,Mobile
10387,87,2026-03-14,Paid,Store
10388,88,2026-04-19,Shipped,Web
10389,89,2026-05-24,Delivered,Mobile
10390,90,2026-06-02,Cancelled,Store
10391,91,2026-07-07,Placed,Web
10392,92,2026-08-12,Paid,Mobile
10393,93,2026-01-17,Shipped,Store
10394,94,2026-02-22,Delivered,Web
10395,95,2026-03-27,Cancelled,Mobile
10396,96,2026-04-05,Placed,Store
10397,97,2026-05-10,Paid,Web
10398,98,2026-06-15,Shipped,Mobile
10399,99,2026-07-20,Delivered,Store
10400,100,2026-08-25,Cancelled,Web
10401,1,2026-01-03,Placed,Mobile
10402,2,2026-02-08,Paid,Store
10403,3,2026-03-13,Shipped,Web
10404,4,2026-04-18,Delivered,Mobile
10405,5,2026-05-23,Cancelled,Store
10406,6,2026-06-01,Placed,Web
10407,7,2026-07-06,Paid,Mobile
10408,8,2026-08-11,Shipped,Store
10409,9,2026-01-16,Delivered,Web
10410,10,2026-02-21,Cancelled,Mobile
10411,11,2026-03-26,Placed,Store
10412,12,2026-04-04,Paid,Web
10413,13,2026-05-09,Shipped,Mobile
10414,14,2026-06-14,Delivered,Store
10415,15,2026-07-19,Cancelled,Web
10416,16,2026-08-24,Placed,Mobile
10417,17,2026-01-02,Paid,Store
10418,18,2026-02-07,Shipped,Web
10419,19,2026-03-12,Delivered,Mobile
10420,20,2026-04-17,Cancelled,Store
10421,21,2026-05-22,Placed,Web
10422,22,2026-06-27,Paid,Mobile
10423,23,2026-07-05,Shipped,Store
10424,24,2026-08-10,Delivered,Web
10425,25,2026-01-15,Cancelled,Mobile
10426,26,2026-02-20,Placed,Store
10427,27,2026-03-25,Paid,Web
10428,28,2026-04-03,Shipped,Mobile
10429,29,2026-05-08,Delivered,Store
10430,30,2026-06-13,Cancelled,Web
10431,31,2026-07-18,Placed,Mobile
10432,32,2026-08-23,Paid,Store
10433,33,2026-01-01,Shipped,Web
10434,34,2026-02-06,Delivered,Mobile
10435,35,2026-03-11,Cancelled,Store
10436,36,2026-04-16,Placed,Web
10437,37,2026-05-21,Paid,Mobile
10438,38,2026-06-26,Shipped,Store
10439,39,2026-07-04,Delivered,Web
10440,40,2026-08-09,Cancelled,Mobile
10441,41,2026-01-14,Placed,Store
10442,42,2026-02-19,Paid,Web
10443,43,2026-03-24,Shipped,Mobile
10444,44,2026-04-02,Delivered,Store
10445,45,2026-05-07,Cancelled,Web
10446,46,2026-06-12,Placed,Mobile
10447,47,2026-07-17,Paid,Store
10448,48,2026-08-22,Shipped,Web
10449,49,2026-01-27,Delivered,Mobile
10450,50,2026-02-05,Cancelled,Store
10451,51,2026-03-10,Placed,Web
10452,52,2026-04-15,Paid,Mobile
10453,53,2026-05-20,Shipped,Store
10454,54,2026-06-25,Delivered,Web
10455,55,2026-07-03,Cancelled,Mobile
10456,56,2026-08-08,Placed,Store
10457,57,2026-01-13,Paid,Web
10458,58,2026-02-18,Shipped,Mobile
10459,59,2026-03-23,Delivered,Store
10460,60,2026-04-01,Cancelled,Web
10461,61,2026-05-06,Placed,Mobile
10462,62,2026-06-11,Paid,Store
10463,63,2026-07-16,Shipped,Web
10464,64,2026-08-21,Delivered,Mobile
10465,65,2026-01-26,Cancelled,Store
10466,66,2026-02-04,Placed,Web
10467,67,2026-03-09,Paid,Mobile
10468,68,2026-04-14,Shipped,Store
10469,69,2026-05-19,Delivered,Web
10470,70,2026-06-24,Cancelled,Mobile
10471,71,2026-07-02,Placed,Store
10472,72,2026-08-07,Paid,Web
10473,73,2026-01-12,Shipped,Mobile
10474,74,2026-02-17,Delivered,Store
10475,75,2026-03-22,Cancelled,Web
10476,76,2026-04-27,Placed,Mobile
10477,77,2026-05-05,Paid,Store
10478,78,2026-06-10,Shipped,Web
10479,79,2026-07-15,Delivered,Mobile
10480,80,2026-08-20,Cancelled,Store
10481,81,2026-01-25,Placed,Web
10482,82,2026-02-03,Paid,Mobile
10483,83,2026-03-08,Shipped,Store
10484,84,2026-04-13,Delivered,Web
10485,85,2026-05-18,Cancelled,Mobile
10486,86,2026-06-23,Placed,Store
10487,87,2026-07-01,Paid,Web
10488,88,2026-08-06,Shipped,Mobile
10489,89,2026-01-11,Delivered,Store
10490,90,2026-02-16,Cancelled,Web
10491,91,2026-03-21,Placed,Mobile
10492,92,2026-04-26,Paid,Store
10493,93,2026-05-04,Shipped,Web
10494,94,2026-06-09,Delivered,Mobile
10495,95,2026-07-14,Cancelled,Store
10496,96,2026-08-19,Placed,Web
10497,97,2026-01-24,Paid,Mobile
10498,98,2026-02-02,Shipped,Store
10499,99,2026-03-07,Delivered,Web
10500,100,2026-04-12,Cancelled,Mobile
10011,11,2026-03-24,Placed,Mobile
10900,999,2026-05-20,Placed,Store
10901,31,31-31-2026,Placed,Web
10902,41,2026-01-12,Unknown,Mobile
